time[s],SAS[V],FWM[V]
-2.5,-0.00101759,-0.0888191
-2.499348958333,-0.000979899,-0.0888191
-2.498697916666,-0.000967337,-0.0885678
-2.498046874999,-0.000967337,-0.0883166
-2.497395833332,-0.000954774,-0.0883166
-2.496744791665,-0.000942211,-0.088191
-2.496093749998,-0.00101759,-0.0880653
-2.495442708331,-0.000979899,-0.0879397
-2.494791666664,-0.00101759,-0.0878141
-2.494140624997,-0.000942211,-0.0876884
-2.49348958333,-0.000967337,-0.0875628
-2.492838541663,-0.000942211,-0.0875628
-2.492187499996,-0.000992462,-0.0873116
-2.491536458329,-0.000979899,-0.0871859
-2.490885416662,-0.000942211,-0.0870603
-2.490234374995,-0.000979899,-0.0869347
-2.489583333328,-0.000979899,-0.0869347
-2.488932291661,-0.00100503,-0.0866834
-2.488281249994,-0.000954774,-0.0866834
-2.487630208327,-0.000967337,-0.0864322
-2.48697916666,-0.000979899,-0.0863065
-2.486328124993,-0.00100503,-0.0863065
-2.485677083326,-0.000942211,-0.0860553
-2.485026041659,-0.000979899,-0.0860553
-2.484374999992,-0.000942211,-0.085804
-2.483723958325,-0.000954774,-0.085804
-2.483072916658,-0.000967337,-0.0856784
-2.482421874991,-0.000929648,-0.0855528
-2.481770833324,-0.00100503,-0.0855528
-2.481119791657,-0.000967337,-0.0853015
-2.48046874999,-0.000967337,-0.0851759
-2.479817708323,-0.000917085,-0.0850502
-2.479166666656,-0.000967337,-0.0850502
-2.478515624989,-0.000929648,-0.084799
-2.477864583322,-0.000979899,-0.084799
-2.477213541655,-0.000954774,-0.0846734
-2.476562499988,-0.000954774,-0.0844221
-2.475911458321,-0.000954774,-0.0844221
-2.475260416654,-0.000954774,-0.0842965
-2.474609374987,-0.000992462,-0.0840452
-2.47395833332,-0.000954774,-0.0841709
-2.473307291653,-0.000942211,-0.083794
-2.472656249986,-0.00100503,-0.083794
-2.472005208319,-0.000967337,-0.0836683
-2.471354166652,-0.000929648,-0.0836683
-2.470703124985,-0.00101759,-0.0835427
-2.470052083318,-0.000979899,-0.0834171
-2.469401041651,-0.000954774,-0.0832915
-2.468749999984,-0.000979899,-0.0831658
-2.468098958317,-0.000942211,-0.0829146
-2.46744791665,-0.000929648,-0.0829146
-2.466796874983,-0.000992462,-0.0827889
-2.466145833316,-0.000992462,-0.0826633
-2.465494791649,-0.000967337,-0.0826633
-2.464843749982,-0.000992462,-0.0825377
-2.464192708315,-0.000992462,-0.0824121
-2.463541666648,-0.000967337,-0.0822864
-2.462890624981,-0.000954774,-0.0821608
-2.462239583314,-0.000979899,-0.0820352
-2.461588541647,-0.000954774,-0.0819095
-2.46093749998,-0.000967337,-0.0817839
-2.460286458313,-0.000979899,-0.0817839
-2.459635416646,-0.000967337,-0.0815327
-2.458984374979,-0.000967337,-0.0815327
-2.458333333312,-0.000979899,-0.0812814
-2.457682291645,-0.000992462,-0.0812814
-2.457031249978,-0.000929648,-0.0811558
-2.456380208311,-0.000979899,-0.0810302
-2.455729166644,-0.00100503,-0.0809045
-2.455078124977,-0.000942211,-0.0807789
-2.45442708331,-0.000992462,-0.0806533
-2.453776041643,-0.000979899,-0.0805276
-2.453124999976,-0.000954774,-0.0805276
-2.452473958309,-0.000967337,-0.080402
-2.451822916642,-0.00103015,-0.0802764
-2.451171874975,-0.000954774,-0.0802764
-2.450520833308,-0.000954774,-0.0800251
-2.449869791641,-0.000979899,-0.0800251
-2.449218749974,-0.000954774,-0.0797739
-2.448567708307,-0.000967337,-0.0796482
-2.44791666664,-0.00100503,-0.0796482
-2.447265624973,-0.000967337,-0.0795226
-2.446614583306,-0.000967337,-0.0795226
-2.445963541639,-0.00101759,-0.0792714
-2.445312499972,-0.000992462,-0.0792714
-2.444661458305,-0.000954774,-0.0790201
-2.444010416638,-0.000979899,-0.0790201
-2.443359374971,-0.00100503,-0.0788945
-2.442708333304,-0.000967337,-0.0787688
-2.442057291637,-0.00100503,-0.0786432
-2.44140624997,-0.000992462,-0.0785176
-2.440755208303,-0.000992462,-0.0785176
-2.440104166636,-0.00100503,-0.078392
-2.439453124969,-0.00100503,-0.0782663
-2.438802083302,-0.000992462,-0.0782663
-2.438151041635,-0.000992462,-0.0780151
-2.437499999968,-0.000979899,-0.0778894
-2.436848958301,-0.00101759,-0.0778894
-2.436197916634,-0.000917085,-0.0776382
-2.435546874967,-0.000992462,-0.0776382
-2.4348958333,-0.00101759,-0.0775126
-2.434244791633,-0.000942211,-0.0773869
-2.433593749966,-0.00101759,-0.0772613
-2.432942708299,-0.000954774,-0.0772613
-2.432291666632,-0.00101759,-0.0771357
-2.431640624965,-0.000967337,-0.0768844
-2.430989583298,-0.000992462,-0.0768844
-2.430338541631,-0.000992462,-0.0767588
-2.429687499964,-0.000979899,-0.0766332
-2.429036458297,-0.000979899,-0.0765075
-2.42838541663,-0.00101759,-0.0763819
-2.427734374963,-0.000992462,-0.0763819
-2.427083333296,-0.000979899,-0.0761307
-2.426432291629,-0.00100503,-0.0761307
-2.425781249962,-0.000942211,-0.076005
-2.425130208295,-0.000992462,-0.0758794
-2.424479166628,-0.000979899,-0.0757538
-2.423828124961,-0.000954774,-0.0756281
-2.423177083294,-0.000942211,-0.0756281
-2.422526041627,-0.00104271,-0.0753769
-2.42187499996,-0.000979899,-0.0753769
-2.421223958293,-0.000992462,-0.0752513
-2.420572916626,-0.000992462,-0.0751256
-2.419921874959,-0.000979899,-0.0751256
-2.419270833292,-0.000979899,-0.075
-2.418619791625,-0.00100503,-0.0748744
-2.417968749958,-0.00100503,-0.0747487
-2.417317708291,-0.000917085,-0.0746231
-2.416666666624,-0.00103015,-0.0746231
-2.416015624957,-0.000992462,-0.0744975
-2.41536458329,-0.000954774,-0.0744975
-2.414713541623,-0.00101759,-0.0743719
-2.414062499956,-0.000992462,-0.0742462
-2.413411458289,-0.00103015,-0.0741206
-2.412760416622,-0.000967337,-0.073995
-2.412109374955,-0.00109296,-0.0738693
-2.411458333288,-0.000979899,-0.0737437
-2.410807291621,-0.000942211,-0.0737437
-2.410156249954,-0.00101759,-0.0734925
-2.409505208287,-0.00100503,-0.0736181
-2.40885416662,-0.000954774,-0.0734925
-2.408203124953,-0.000967337,-0.0732412
-2.407552083286,-0.00103015,-0.0732412
-2.406901041619,-0.000954774,-0.0731156
-2.406249999952,-0.00101759,-0.0729899
-2.405598958285,-0.00103015,-0.0729899
-2.404947916618,-0.000954774,-0.0729899
